what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356655194524
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356655227104
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356655228071
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.garbagecollector",1356655367375
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356655625970
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356656701915
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356656702595
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356656703605
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1356656705535
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356656705875
started,bundle,org.jboss.ide.eclipse.as.classpath.core,2.3.1.v20120715-0243-H142-Final,"org.jboss.ide.eclipse.as.classpath.core",1356656724405
started,bundle,org.jboss.tools.jmx.core,1.3.1.v20120715-0236-H78-Final,"org.jboss.tools.jmx.core",1356656724455
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356656724585
started,bundle,org.jboss.ide.eclipse.as.jmx.integration,2.3.1.v20120715-0243-H142-Final,"org.jboss.ide.eclipse.as.jmx.integration",1356656727065
started,bundle,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser",1356656727085
started,bundle,org.jboss.ide.eclipse.as.management.core,2.3.1.v20120715-0243-H142-Final,"org.jboss.ide.eclipse.as.management.core",1356656727155
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356656728525
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356656731445
started,bundle,org.jboss.ide.eclipse.as.rse.core,2.3.1.v20120715-0243-H142-Final,"org.jboss.ide.eclipse.as.rse.core",1356656739205
started,bundle,org.eclipse.rse.services,3.2.101.R33x_v201109141647,"org.eclipse.rse.services",1356656739245
started,bundle,org.jboss.ide.eclipse.as.management.as71,2.3.1.v20120715-0243-H142-Final,"org.jboss.ide.eclipse.as.management.as71",1356656739345
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356656742485
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1356656746215
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1356656746225
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1356656747526
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356656747596
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1356656747616
started,bundle,org.jboss.ide.eclipse.as.dmr,2.3.1.v20120715-0243-H142-Final,"org.jboss.ide.eclipse.as.dmr",1356656770816
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356656821843
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356656833283
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1356656835663
started,bundle,org.eclipse.jst.jsf.facelet.core,1.0.100.v201104191527,"org.eclipse.jst.jsf.facelet.core",1356656838533
started,bundle,org.eclipse.jst.jsf.common.runtime,1.1.0.v20100510,"org.eclipse.jst.jsf.common.runtime",1356656838543
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356656842913
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356656844973
opened,editor,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.core.csssource.source",1356656845403
activated,editor,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.core.csssource.source",1356656845453
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.navigate.openResource",1356656845493
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356656855043
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356656878825
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356656880535
